,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.4157027304172516,0.4263559579849243,0.38841745257377625,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.4937813685207587,CND_augmented_-10
1,0.4041668474674225,0.41389527916908264,0.3792502284049988,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.49450042019987506,CND_augmented_-10
2,0.44680798053741455,0.4711069166660309,0.3845731019973755,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.4979811125233766,CND_augmented_-10
3,0.47706419229507446,0.5194243788719177,0.36857059597969055,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.48610235250856554,CND_augmented_-10
4,0.49033406376838684,0.5396014451980591,0.3641496002674103,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.49347756337192183,CND_augmented_-10
0,0.3557438850402832,0.33697012066841125,0.40382760763168335,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.49712682920455176,CND_augmented_-10
1,0.3491736352443695,0.32911619544029236,0.4005451798439026,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.49353863687075294,CND_augmented_-10
2,0.4211357831954956,0.43194490671157837,0.3934512436389923,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.49959403877201364,CND_augmented_-10
3,0.44792166352272034,0.47496289014816284,0.37866321206092834,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.4880828915091787,CND_augmented_-10
4,0.4538212716579437,0.4823136031627655,0.3808461129665375,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.4953061465363443,CND_augmented_-10
0,0.4433367848396301,0.13721150159835815,0.6913943290710449,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5027414980675845,CND_augmented_-10
1,0.4412793815135956,0.1326563060283661,0.6913608312606812,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5039097239399997,CND_augmented_-10
