,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.8546191453933716,0.9037178158760071,0.7376623153686523,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_None,0.8512049318139361,CND_augmented_None
1,0.8449519872665405,0.8850457668304443,0.7494456768035889,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_None,0.829277974967308,CND_augmented_None
2,0.8522830605506897,0.8994197249412537,0.7400000095367432,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_None,0.8334718849243414,CND_augmented_None
3,0.8591064810752869,0.8945752382278442,0.774617075920105,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_None,0.8521623388753969,CND_augmented_None
4,0.8631811141967773,0.9075144529342651,0.7575757503509521,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_None,0.854665608070241,CND_augmented_None
0,0.8480631113052368,0.8943248391151428,0.737864077091217,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_None,0.8348075845320381,CND_augmented_None
1,0.830156683921814,0.8812561631202698,0.7084337472915649,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_None,0.8284886979263965,CND_augmented_None
2,0.8352990746498108,0.895327091217041,0.692307710647583,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_None,0.8201335699607697,CND_augmented_None
3,0.8506644368171692,0.8941642045974731,0.7470449209213257,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_None,0.8389127592004484,CND_augmented_None
4,0.8494207859039307,0.89952152967453,0.7300771474838257,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_None,0.8535307304315337,CND_augmented_None
0,0.8592097163200378,0.8501362204551697,0.8668280839920044,ekstedt_events,s_pred_p_future,1000000,CND_augmented_None,0.860372058511766,CND_augmented_None
1,0.8489425778388977,0.8383561372756958,0.8578312993049622,ekstedt_events,s_pred_p_future,1000000,CND_augmented_None,0.8495866016535933,CND_augmented_None
2,0.830390989780426,0.8103448152542114,0.8472222089767456,ekstedt_events,s_pred_p_future,1000000,CND_augmented_None,0.8276711893152428,CND_augmented_None
3,0.8719372153282166,0.8618784546852112,0.880382776260376,ekstedt_events,s_pred_p_future,1000000,CND_augmented_None,0.8721645113419547,CND_augmented_None
4,0.8692593574523926,0.8571428656578064,0.8794326186180115,ekstedt_events,s_pred_p_future,1000000,CND_augmented_None,0.8684545261818952,CND_augmented_None
0,0.8440986275672913,0.8973383903503418,0.717277467250824,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_None,0.839758079581543,CND_augmented_None
1,0.8362483382225037,0.8847290873527527,0.7207637429237366,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_None,0.8069400336260042,CND_augmented_None
2,0.8293719291687012,0.8796843886375427,0.7095237970352173,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_None,0.8110779002428545,CND_augmented_None
3,0.8418813943862915,0.8968779444694519,0.7108753323554993,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_None,0.8378899682421073,CND_augmented_None
4,0.853125810623169,0.8939999938011169,0.7557603716850281,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_None,0.8521623388753969,CND_augmented_None
0,0.7826170325279236,0.8632557988166809,0.5905292630195618,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_None,0.7822202503269196,CND_augmented_None
1,0.7873003482818604,0.854651153087616,0.6268656849861145,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_None,0.7527507939473193,CND_augmented_None
2,0.7833700776100159,0.8535645604133606,0.6161616444587708,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_None,0.7519054735662245,CND_augmented_None
3,0.7924336194992065,0.8609779477119446,0.6291559934616089,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_None,0.8039697365963012,CND_augmented_None
4,0.7617454528808594,0.861261248588562,0.5246913433074951,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_None,0.8001868111339436,CND_augmented_None
0,0.8443523645401001,0.8170731663703918,0.8672566413879395,ekstedt_events,s_pred_p_now,1000000,CND_augmented_None,0.8386686453254186,CND_augmented_None
1,0.8592390418052673,0.8533333539962769,0.8641975522041321,ekstedt_events,s_pred_p_now,1000000,CND_augmented_None,0.8621740513037948,CND_augmented_None
2,0.8176013827323914,0.796561598777771,0.8352668285369873,ekstedt_events,s_pred_p_now,1000000,CND_augmented_None,0.8149777400890397,CND_augmented_None
3,0.8564550876617432,0.8275862336158752,0.8806941509246826,ekstedt_events,s_pred_p_now,1000000,CND_augmented_None,0.8750794996820013,CND_augmented_None
4,0.8691352605819702,0.8702290058135986,0.8682170510292053,ekstedt_events,s_pred_p_now,1000000,CND_augmented_None,0.876563493746025,CND_augmented_None
0,0.7511884570121765,0.7463271021842957,0.757717490196228,ekstedt_events,backchannel,1000000,CND_augmented_None,0.765960831580287,CND_augmented_None
1,0.7695642709732056,0.7706945538520813,0.7680462002754211,ekstedt_events,backchannel,1000000,CND_augmented_None,0.7754048226865403,CND_augmented_None
2,0.773435652256012,0.7851985692977905,0.7576375007629395,ekstedt_events,backchannel,1000000,CND_augmented_None,0.7823203096341436,CND_augmented_None
3,0.7724892497062683,0.7844905257225037,0.756371021270752,ekstedt_events,backchannel,1000000,CND_augmented_None,0.7848974748646848,CND_augmented_None
4,0.7846137285232544,0.7915129065513611,0.775347888469696,ekstedt_events,backchannel,1000000,CND_augmented_None,0.7954382116681764,CND_augmented_None
0,0.6169455051422119,0.2792207896709442,0.7827788591384888,ekstedt_events,short_long,1000000,CND_augmented_None,0.6144060855498905,CND_augmented_None
