,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.5858296751976013,0.674443244934082,0.3747454285621643,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5472305249392864,CND_augmented_-10
1,0.5666313171386719,0.6645702123641968,0.3333333432674408,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5025406314216327,CND_augmented_-10
2,0.5838078260421753,0.6923857927322388,0.3251670300960541,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5044881374929946,CND_augmented_-10
3,0.5614019632339478,0.6673553586006165,0.30901288986206055,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.49476461797123106,CND_augmented_-10
4,0.58945232629776,0.7184466123580933,0.28217822313308716,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5104847748925836,CND_augmented_-10
0,0.5796030759811401,0.6448703408241272,0.4241316318511963,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5545301699981319,CND_augmented_-10
1,0.5933268070220947,0.6966292262077332,0.347252756357193,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.4800252195030824,CND_augmented_-10
2,0.5821163654327393,0.7048371434211731,0.2897862195968628,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5083271062955352,CND_augmented_-10
3,0.5842519402503967,0.6917599439620972,0.3281596601009369,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5013730618344854,CND_augmented_-10
4,0.5832200050354004,0.7061144113540649,0.2904762029647827,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5238791331963385,CND_augmented_-10
0,0.5232683420181274,0.4039735198020935,0.6234309673309326,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5227634089463642,CND_augmented_-10
1,0.5062671899795532,0.5199999809265137,0.49473685026168823,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5138329446682213,CND_augmented_-10
2,0.523311972618103,0.45747801661491394,0.5785877108573914,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5186294254822981,CND_augmented_-10
