,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.49996642011412595,CND_augmented_noisy_label_-10
1,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.50015290586117,CND_augmented_noisy_label_-10
2,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.4997237473969752,CND_augmented_noisy_label_-10
3,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.49769555601274124,CND_augmented_noisy_label_-10
0,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.4997292337977959,CND_augmented_noisy_label_-10
1,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5008262026767774,CND_augmented_noisy_label_-10
2,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.49930616484940554,CND_augmented_noisy_label_-10
3,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.4973791735654158,CND_augmented_noisy_label_-10
0,0.3950900137424469,0.0011524056317284703,0.7126398682594299,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5069216400932243,CND_augmented_noisy_label_-10
1,0.3946284353733063,0.0,0.712735116481781,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5009727683213978,CND_augmented_noisy_label_-10
2,0.3966362476348877,0.005163511261343956,0.7121991515159607,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.4991004298877509,CND_augmented_noisy_label_-10
3,0.3946284353733063,0.0,0.712735116481781,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5006715927306634,CND_augmented_noisy_label_-10
0,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.4999617378666171,CND_augmented_noisy_label_-10
1,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5002644756480716,CND_augmented_noisy_label_-10
2,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.49976080330039047,CND_augmented_noisy_label_-10
3,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.49769555601274124,CND_augmented_noisy_label_-10
0,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5003752412816617,CND_augmented_noisy_label_-10
1,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5007657355358176,CND_augmented_noisy_label_-10
2,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.4993387395436399,CND_augmented_noisy_label_-10
3,0.7201085090637207,0.8928847312927246,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.4970208519288382,CND_augmented_noisy_label_-10
0,0.3950900137424469,0.0011524056317284703,0.7126398682594299,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5075084664140261,CND_augmented_noisy_label_-10
1,0.3946284353733063,0.0,0.712735116481781,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5008285514191768,CND_augmented_noisy_label_-10
2,0.3966362476348877,0.005163511261343956,0.7121991515159607,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.4986913514857292,CND_augmented_noisy_label_-10
3,0.3946284353733063,0.0,0.712735116481781,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.4995739213725828,CND_augmented_noisy_label_-10
0,0.597032904624939,0.8304943442344666,0.014734950847923756,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4999965670229175,CND_augmented_noisy_label_-10
1,0.605394721031189,0.8152841925621033,0.08188976347446442,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.49872445829290446,CND_augmented_noisy_label_-10
2,0.5981131196022034,0.8292335271835327,0.021654242649674416,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.5001531966023063,CND_augmented_noisy_label_-10
3,0.595701277256012,0.8304859399795532,0.010102832689881325,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.49824689303653974,CND_augmented_noisy_label_-10
0,0.47914350032806396,0.25616082549095154,0.6613522171974182,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.506132577100319,CND_augmented_noisy_label_-10
1,0.4657209515571594,0.22563417255878448,0.6619061231613159,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.506132577100319,CND_augmented_noisy_label_-10
2,0.4166034758090973,0.06101984158158302,0.7071661353111267,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.506132577100319,CND_augmented_noisy_label_-10
3,0.4158608019351959,0.05902480706572533,0.707446813583374,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.506132577100319,CND_augmented_noisy_label_-10
0,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.49632024977698486,CND_augmented_noisy_label_-10
1,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.49654326494201606,CND_augmented_noisy_label_-10
2,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.4666964020220042,CND_augmented_noisy_label_-10
3,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.4964875111507583,CND_augmented_noisy_label_-10
0,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_augmented_noisy_label_,0.48214020220041626,CND_augmented_noisy_label_-10
1,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_augmented_noisy_label_,0.49301219149568837,CND_augmented_noisy_label_-10
2,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_augmented_noisy_label_,0.46976286054118344,CND_augmented_noisy_label_-10
3,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_augmented_noisy_label_,0.4931980374665478,CND_augmented_noisy_label_-10
0,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_now,-10.0,CND_augmented_noisy_label_,0.4736470413321439,CND_augmented_noisy_label_-10
1,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_now,-10.0,CND_augmented_noisy_label_,0.49959113886410944,CND_augmented_noisy_label_-10
2,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_now,-10.0,CND_augmented_noisy_label_,0.47188150460898004,CND_augmented_noisy_label_-10
3,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_now,-10.0,CND_augmented_noisy_label_,0.4943688670829616,CND_augmented_noisy_label_-10
0,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_future,-10.0,CND_augmented_noisy_label_,0.46346268212905145,CND_augmented_noisy_label_-10
1,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_future,-10.0,CND_augmented_noisy_label_,0.4849093071662206,CND_augmented_noisy_label_-10
2,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_future,-10.0,CND_augmented_noisy_label_,0.4610466845078799,CND_augmented_noisy_label_-10
3,0.7434503436088562,0.9030612111091614,0.0,roddy_events,overlaps_after_p_future,-10.0,CND_augmented_noisy_label_,0.49507508177222714,CND_augmented_noisy_label_-10
0,0.9379263520240784,0.9787174463272095,0.0,roddy_events,overlap_spred_before_p_future,-10.0,CND_augmented_noisy_label_,0.5040546645583917,CND_augmented_noisy_label_-10
1,0.9379263520240784,0.9787174463272095,0.0,roddy_events,overlap_spred_before_p_future,-10.0,CND_augmented_noisy_label_,0.49142007378962427,CND_augmented_noisy_label_-10
2,0.9379263520240784,0.9787174463272095,0.0,roddy_events,overlap_spred_before_p_future,-10.0,CND_augmented_noisy_label_,0.49084782772381597,CND_augmented_noisy_label_-10
3,0.9379263520240784,0.9787174463272095,0.0,roddy_events,overlap_spred_before_p_future,-10.0,CND_augmented_noisy_label_,0.5127672991491604,CND_augmented_noisy_label_-10
0,0.8667518496513367,0.9527403712272644,0.0,gap_0,gap_0_p_future,-10.0,CND_augmented_noisy_label_,0.49984196158518424,CND_augmented_noisy_label_-10
