,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.7098771333694458,0.8363345265388489,0.2495412826538086,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_noisy_label_None,0.5651913020386485,CND_augmented_noisy_label_None
1,0.6977319717407227,0.8157894611358643,0.2679738700389862,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_noisy_label_None,0.5724302406340647,CND_augmented_noisy_label_None
2,0.7061769366264343,0.8524971008300781,0.1735357940196991,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_noisy_label_None,0.5675583200555623,CND_augmented_noisy_label_None
3,0.6978517770767212,0.8347205519676208,0.19961611926555634,ekstedt_events,shift_hold_p_future_after,1000000,CND_augmented_noisy_label_None,0.5656100625076602,CND_augmented_noisy_label_None
0,0.6963142156600952,0.85550457239151,0.11682242900133133,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_noisy_label_None,0.5643537811006251,CND_augmented_noisy_label_None
1,0.6913778185844421,0.805994987487793,0.2741433084011078,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_noisy_label_None,0.5775064346120848,CND_augmented_noisy_label_None
2,0.7072030305862427,0.8543839454650879,0.17142857611179352,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_noisy_label_None,0.5730354005801365,CND_augmented_noisy_label_None
3,0.695665717124939,0.8407045006752014,0.16768915951251984,ekstedt_events,shift_hold_p_future_before,1000000,CND_augmented_noisy_label_None,0.5695295583609102,CND_augmented_noisy_label_None
0,0.5449692010879517,0.5237258076667786,0.5621970891952515,ekstedt_events,s_pred_p_future,1000000,CND_augmented_noisy_label_None,0.5504424170181551,CND_augmented_noisy_label_None
1,0.550052285194397,0.5248227119445801,0.5705128312110901,ekstedt_events,s_pred_p_future,1000000,CND_augmented_noisy_label_None,0.5495369521364386,CND_augmented_noisy_label_None
2,0.5460915565490723,0.4836852252483368,0.5967016220092773,ekstedt_events,s_pred_p_future,1000000,CND_augmented_noisy_label_None,0.5401957637997432,CND_augmented_noisy_label_None
3,0.568329930305481,0.5114504098892212,0.6144578456878662,ekstedt_events,s_pred_p_future,1000000,CND_augmented_noisy_label_None,0.5289404914725839,CND_augmented_noisy_label_None
0,0.70121169090271,0.8433829545974731,0.18367347121238708,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_noisy_label_None,0.563281345753156,CND_augmented_noisy_label_None
1,0.6944389343261719,0.8257027864456177,0.2166064977645874,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_noisy_label_None,0.5775396290395065,CND_augmented_noisy_label_None
2,0.7007262110710144,0.857361376285553,0.13053612411022186,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_noisy_label_None,0.5692997507864526,CND_augmented_noisy_label_None
3,0.701026439666748,0.8471412062644958,0.16913318634033203,ekstedt_events,shift_hold_p_now_after,1000000,CND_augmented_noisy_label_None,0.5645044327327695,CND_augmented_noisy_label_None
0,0.7066589593887329,0.8306451439857483,0.25531914830207825,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_noisy_label_None,0.5655768680802387,CND_augmented_noisy_label_None
1,0.6878727674484253,0.8018394708633423,0.2730061411857605,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_noisy_label_None,0.573267761572088,CND_augmented_noisy_label_None
2,0.7042965292930603,0.8583461046218872,0.14351852238178253,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_noisy_label_None,0.5742916819871716,CND_augmented_noisy_label_None
3,0.6979624032974243,0.8341270089149475,0.20229007303714752,ekstedt_events,shift_hold_p_now_before,1000000,CND_augmented_noisy_label_None,0.569948318829922,CND_augmented_noisy_label_None
0,0.5466626882553101,0.5246478915214539,0.5645161271095276,ekstedt_events,s_pred_p_now,1000000,CND_augmented_noisy_label_None,0.5478520997615991,CND_augmented_noisy_label_None
1,0.5566189885139465,0.52173912525177,0.5849056839942932,ekstedt_events,s_pred_p_now,1000000,CND_augmented_noisy_label_None,0.5468434806528517,CND_augmented_noisy_label_None
2,0.54921954870224,0.4743083119392395,0.6099706888198853,ekstedt_events,s_pred_p_now,1000000,CND_augmented_noisy_label_None,0.5614913808912525,CND_augmented_noisy_label_None
3,0.568329930305481,0.5114504098892212,0.6144578456878662,ekstedt_events,s_pred_p_now,1000000,CND_augmented_noisy_label_None,0.5343274344397579,CND_augmented_noisy_label_None
0,0.5841032862663269,0.7532728910446167,0.2414860725402832,ekstedt_events,backchannel,1000000,CND_augmented_noisy_label_None,0.5141727660573799,CND_augmented_noisy_label_None
1,0.5573062300682068,0.7870544195175171,0.09200000017881393,ekstedt_events,backchannel,1000000,CND_augmented_noisy_label_None,0.5221130637859277,CND_augmented_noisy_label_None
2,0.5819974541664124,0.7781537175178528,0.18472468852996826,ekstedt_events,backchannel,1000000,CND_augmented_noisy_label_None,0.5100277897373674,CND_augmented_noisy_label_None
3,0.5805870294570923,0.7696821689605713,0.19761499762535095,ekstedt_events,backchannel,1000000,CND_augmented_noisy_label_None,0.5132125197333228,CND_augmented_noisy_label_None
0,0.4418269991874695,0.10026384890079498,0.7087959051132202,ekstedt_events,short_long,1000000,CND_augmented_noisy_label_None,0.4937288708586883,CND_augmented_noisy_label_None
1,0.4360036253929138,0.08994708955287933,0.7064846158027649,ekstedt_events,short_long,1000000,CND_augmented_noisy_label_None,0.4866294793779581,CND_augmented_noisy_label_None
2,0.40174543857574463,0.5394456386566162,0.29411765933036804,ekstedt_events,short_long,1000000,CND_augmented_noisy_label_None,0.5053245436105477,CND_augmented_noisy_label_None
3,0.4577659070491791,0.22937625646591187,0.6362773180007935,ekstedt_events,short_long,1000000,CND_augmented_noisy_label_None,0.4688810006761325,CND_augmented_noisy_label_None
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,1000000,CND_augmented_noisy_label_None,0.6975806451612903,CND_augmented_noisy_label_None
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,1000000,CND_augmented_noisy_label_None,0.5967741935483871,CND_augmented_noisy_label_None
2,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,1000000,CND_augmented_noisy_label_None,0.7056451612903225,CND_augmented_noisy_label_None
3,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,1000000,CND_augmented_noisy_label_None,0.6058467741935484,CND_augmented_noisy_label_None
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,1000000,CND_augmented_noisy_label_None,0.6199596774193548,CND_augmented_noisy_label_None
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,1000000,CND_augmented_noisy_label_None,0.5967741935483871,CND_augmented_noisy_label_None
2,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,1000000,CND_augmented_noisy_label_None,0.7056451612903225,CND_augmented_noisy_label_None
