,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.5145366057931936,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.49619540793397887,CND_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5129279527719901,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5003447113616865,CND_augmented_noisy_label_-10
0,0.3921078145503998,0.0,0.7100977301597595,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5089744177516963,CND_augmented_noisy_label_-10
1,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.49893407298734643,CND_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5090059035012461,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.49619540793397887,CND_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5128615639171468,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5022214732197574,CND_augmented_noisy_label_-10
0,0.3921078145503998,0.0,0.7100977301597595,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5131464331560609,CND_augmented_noisy_label_-10
1,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.4971575279662571,CND_augmented_noisy_label_-10
0,0.19946488738059998,0.05627705529332161,0.48946136236190796,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4952157292522864,CND_augmented_noisy_label_-10
1,0.4807773232460022,0.5392670035362244,0.36231884360313416,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4987357626521586,CND_augmented_noisy_label_-10
2,0.22457006573677063,0.09623430669307709,0.4844868779182434,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4917818048977781,CND_augmented_noisy_label_-10
3,0.3135306239128113,0.2304060459136963,0.4818817675113678,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4987357626521586,CND_augmented_noisy_label_-10
