,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.509695326224619,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.5004187604690117,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_noisy_label_,0.5027781182334436,CND_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5053391959798995,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5004187604690117,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_noisy_label_,0.508033051436042,CND_augmented_noisy_label_-10
0,0.3921078145503998,0.0,0.7100977301597595,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.4976962222629745,CND_augmented_noisy_label_-10
1,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_noisy_label_,0.502693471483587,CND_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5026070392613473,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5004187604690117,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_augmented_noisy_label_,0.501672488458553,CND_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5125934550802794,CND_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5004187604690117,CND_augmented_noisy_label_-10
2,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_augmented_noisy_label_,0.5070116844384525,CND_augmented_noisy_label_-10
0,0.3921078145503998,0.0,0.7100977301597595,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.491197505960022,CND_augmented_noisy_label_-10
1,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
2,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
3,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_augmented_noisy_label_,0.5050316339629561,CND_augmented_noisy_label_-10
0,0.19913163781166077,0.05621621757745743,0.4885764420032501,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4940663039649301,CND_augmented_noisy_label_-10
1,0.516126811504364,0.581632673740387,0.3834586441516876,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4987357626521586,CND_augmented_noisy_label_-10
2,0.23130673170089722,0.10602910816669464,0.485029935836792,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4923206387725547,CND_augmented_noisy_label_-10
3,0.33599936962127686,0.26446279883384705,0.48088139295578003,ekstedt_events,backchannel,-10.0,CND_augmented_noisy_label_,0.4998708364319543,CND_augmented_noisy_label_-10
0,0.43136924505233765,0.06648199260234833,0.7165685296058655,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.49758282623394184,CND_augmented_noisy_label_-10
1,0.43136924505233765,0.06648199260234833,0.7165685296058655,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.48201487491548345,CND_augmented_noisy_label_-10
2,0.4344245195388794,0.08086253702640533,0.7107718586921692,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.5073022312373225,CND_augmented_noisy_label_-10
3,0.43136924505233765,0.06648199260234833,0.7165685296058655,ekstedt_events,short_long,-10.0,CND_augmented_noisy_label_,0.5073022312373225,CND_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.532258064516129,CND_augmented_noisy_label_-10
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.4596774193548387,CND_augmented_noisy_label_-10
2,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.48588709677419356,CND_augmented_noisy_label_-10
3,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_augmented_noisy_label_,0.5,CND_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_augmented_noisy_label_,0.4586693548387097,CND_augmented_noisy_label_-10
