,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.645998477935791,0.7457627058029175,0.40835267305374146,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5701802727442555,CND_augmented_-10
1,0.6079053282737732,0.690095841884613,0.4121212065219879,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5613581169437698,CND_augmented_-10
2,0.6144381761550903,0.7141404151916504,0.37694013118743896,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5417896506631795,CND_augmented_-10
3,0.607136070728302,0.7106842994689941,0.35733333230018616,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5303655777398484,CND_augmented_-10
4,0.6363890767097473,0.752417802810669,0.36000001430511475,ekstedt_events,shift_hold_p_future_after,-10.0,CND_augmented_,0.5387866616850365,CND_augmented_-10
0,0.6216233968734741,0.7046413421630859,0.4238682985305786,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.552059592751728,CND_augmented_-10
1,0.610084593296051,0.7051546573638916,0.3836206793785095,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5462404259293854,CND_augmented_-10
2,0.6237866878509521,0.7298105955123901,0.37122970819473267,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5460956473005791,CND_augmented_-10
3,0.6098807454109192,0.7137724757194519,0.3592493236064911,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5438746212572275,CND_augmented_-10
4,0.6231152415275574,0.7279999852180481,0.3732718825340271,ekstedt_events,shift_hold_p_future_before,-10.0,CND_augmented_,0.5412338875396974,CND_augmented_-10
0,0.5652374029159546,0.5101449489593506,0.611494243144989,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5608702565189739,CND_augmented_-10
1,0.5315524339675903,0.5013623833656311,0.5569007396697998,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5296533813864746,CND_augmented_-10
2,0.5439772009849548,0.46666666865348816,0.6088888645172119,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5394053423786305,CND_augmented_-10
3,0.5426180362701416,0.5487805008888245,0.5375000238418579,ekstedt_events,s_pred_p_future,-10.0,CND_augmented_,0.5490603020869365,CND_augmented_-10
