,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.314650297164917,0.2759534418582916,0.4137614071369171,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.49548372128498075,CND_-10
1,0.30862754583358765,0.2669847309589386,0.4152839183807373,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.4992677394013689,CND_-10
2,0.42873072624206543,0.44401293992996216,0.3895896375179291,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.49115668164671766,CND_-10
3,0.41409385204315186,0.42274677753448486,0.39193183183670044,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.4954772411026919,CND_-10
4,0.29600921273231506,0.2472982108592987,0.42076870799064636,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.49927253296087026,CND_-10
0,0.24896813929080963,0.1812039315700531,0.4225270748138428,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.4970738514951005,CND_-10
1,0.2760113477706909,0.21843208372592926,0.4234844148159027,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.49890367743420855,CND_-10
2,0.3281943202018738,0.2972697913646698,0.4073987305164337,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.4970895104561381,CND_-10
3,0.34820401668548584,0.3255561590194702,0.40621018409729004,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.4948392005791472,CND_-10
4,0.24298042058944702,0.1708657294511795,0.42768195271492004,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.4995098141561837,CND_-10
0,0.4069541394710541,0.033849477767944336,0.7092859745025635,ekstedt_events,s_pred_p_future,-10.0,CND_,0.5006901724471532,CND_-10
1,0.3986493647098541,0.01534526888281107,0.7092458605766296,ekstedt_events,s_pred_p_future,-10.0,CND_,0.5001093142472602,CND_-10
2,0.4149583578109741,0.05847546085715294,0.7038213014602661,ekstedt_events,s_pred_p_future,-10.0,CND_,0.5010756903520188,CND_-10
3,0.4365489184856415,0.12416427582502365,0.6896784901618958,ekstedt_events,s_pred_p_future,-10.0,CND_,0.4972327446226144,CND_-10
4,0.39757466316223145,0.01246334332972765,0.7096356749534607,ekstedt_events,s_pred_p_future,-10.0,CND_,0.5004653711768633,CND_-10
0,0.41292524337768555,0.42501020431518555,0.38197311758995056,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.49216057728375473,CND_-10
1,0.3618687093257904,0.34498709440231323,0.40510624647140503,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.4985156476695418,CND_-10
2,0.3106878399848938,0.2716774046421051,0.4106021225452423,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.49383351179577817,CND_-10
3,0.44009608030319214,0.4614284634590149,0.38545915484428406,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.49099345206873696,CND_-10
4,0.31826847791671753,0.2807547152042389,0.41434937715530396,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.499220904549649,CND_-10
0,0.22189494967460632,0.14260099828243256,0.4249840974807739,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.4974817479008115,CND_-10
1,0.1845785230398178,0.08768635988235474,0.4327405095100403,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.49975851112467984,CND_-10
