,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.6850930452346802,0.7783251404762268,0.4630071520805359,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6316131141416028,CND_multimodal_late_fusion_augmented_-10
1,0.7127828598022461,0.8069164156913757,0.4885496199131012,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6144591817672334,CND_multimodal_late_fusion_augmented_-10
2,0.6515910625457764,0.7272727489471436,0.4713114798069,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.5907621894264898,CND_multimodal_late_fusion_augmented_-10
3,0.678221583366394,0.7599591612815857,0.48351648449897766,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6126331029329348,CND_multimodal_late_fusion_augmented_-10
4,0.6804076433181763,0.7781035900115967,0.4476885497570038,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6012516345974219,CND_multimodal_late_fusion_augmented_-10
0,0.6677799224853516,0.7621890306472778,0.4428904354572296,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.5996403885671586,CND_multimodal_late_fusion_augmented_-10
1,0.6549211144447327,0.7359667420387268,0.4618644118309021,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6066598169250887,CND_multimodal_late_fusion_augmented_-10
2,0.6394875049591064,0.7217572927474976,0.4435146450996399,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.5817298711003176,CND_multimodal_late_fusion_augmented_-10
3,0.6599757671356201,0.7530120611190796,0.4383561611175537,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.575387633102933,CND_multimodal_late_fusion_augmented_-10
4,0.6582722663879395,0.7549800872802734,0.42790699005126953,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.584854287315524,CND_multimodal_late_fusion_augmented_-10
0,0.6358940601348877,0.5679012537002563,0.6929824352264404,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6310684757260971,CND_multimodal_late_fusion_augmented_-10
1,0.6054171323776245,0.5486725568771362,0.6530612111091614,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6008585965656137,CND_multimodal_late_fusion_augmented_-10
2,0.5876242518424988,0.49517685174942017,0.6652451753616333,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.59187513249947,CND_multimodal_late_fusion_augmented_-10
3,0.6134650707244873,0.6015831232070923,0.6234413981437683,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6150360398558405,CND_multimodal_late_fusion_augmented_-10
4,0.575143575668335,0.5585106611251831,0.5891088843345642,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.5756041975832097,CND_multimodal_late_fusion_augmented_-10
