,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.8820114135742188,0.9198067784309387,0.791979968547821,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_None,0.8655566971791518,CND_multimodal_late_fusion_augmented_None
1,0.8438278436660767,0.8993414640426636,0.7115902900695801,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_None,0.841271249766486,CND_multimodal_late_fusion_augmented_None
2,0.8825184106826782,0.9171597361564636,0.800000011920929,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_None,0.867102559312535,CND_multimodal_late_fusion_augmented_None
3,0.8700228333473206,0.9081934690475464,0.7790973782539368,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_None,0.8470110218569027,CND_multimodal_late_fusion_augmented_None
4,0.8679927587509155,0.9139072895050049,0.7586206793785095,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_None,0.85516532785354,CND_multimodal_late_fusion_augmented_None
0,0.8494207859039307,0.89952152967453,0.7300771474838257,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_None,0.8385344666542125,CND_multimodal_late_fusion_augmented_None
1,0.8234643936157227,0.8782862424850464,0.6928746700286865,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_None,0.805370820100878,CND_multimodal_late_fusion_augmented_None
2,0.8608297109603882,0.9030362367630005,0.7602905631065369,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_None,0.8373995890155053,CND_multimodal_late_fusion_augmented_None
3,0.8530057072639465,0.8988326787948608,0.743842363357544,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_None,0.8295675322249205,CND_multimodal_late_fusion_augmented_None
4,0.8509870171546936,0.8983542919158936,0.7381545901298523,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_None,0.8326265645432468,CND_multimodal_late_fusion_augmented_None
0,0.8768643140792847,0.8644067645072937,0.8873239159584045,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_None,0.8755299978800084,CND_multimodal_late_fusion_augmented_None
1,0.8336461186408997,0.8266666531562805,0.8395061492919922,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_None,0.8363366546533815,CND_multimodal_late_fusion_augmented_None
2,0.8460804224014282,0.8305084705352783,0.8591549396514893,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_None,0.8580135679457283,CND_multimodal_late_fusion_augmented_None
3,0.8566597104072571,0.8518518805503845,0.8606964945793152,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_None,0.8602660589357642,CND_multimodal_late_fusion_augmented_None
4,0.8720176219940186,0.8677248954772949,0.8756219148635864,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_None,0.8757684969260123,CND_multimodal_late_fusion_augmented_None
0,0.8617051243782043,0.904483437538147,0.7598039507865906,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_augmented_None,0.8370212964692696,CND_multimodal_late_fusion_augmented_None
1,0.8277564644813538,0.8907563090324402,0.6776859760284424,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_augmented_None,0.823771716794321,CND_multimodal_late_fusion_augmented_None
2,0.853184700012207,0.8911495208740234,0.762749433517456,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_augmented_None,0.8344292919858023,CND_multimodal_late_fusion_augmented_None
3,0.8498079180717468,0.8949950933456421,0.742168664932251,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_augmented_None,0.8384784233140294,CND_multimodal_late_fusion_augmented_None
