,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.7251552939414978,0.8285449743270874,0.47887325286865234,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6932654586213338,CND_multimodal_late_fusion_augmented_-10
1,0.7222453951835632,0.831501841545105,0.46198830008506775,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6830422193162713,CND_multimodal_late_fusion_augmented_-10
2,0.7140322923660278,0.8038834929466248,0.5,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6671772837661125,CND_multimodal_late_fusion_augmented_-10
3,0.6837038993835449,0.779627799987793,0.4552057981491089,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6178498038483093,CND_multimodal_late_fusion_augmented_-10
4,0.7254075407981873,0.839350163936615,0.453987717628479,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6431019988791332,CND_multimodal_late_fusion_augmented_-10
0,0.6996175646781921,0.8161764740943909,0.4219653308391571,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6419017373435456,CND_multimodal_late_fusion_augmented_-10
1,0.6961695551872253,0.7949951887130737,0.4607594907283783,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6318559686157295,CND_multimodal_late_fusion_augmented_-10
2,0.6968584656715393,0.8003802299499512,0.45026177167892456,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6227676069493742,CND_multimodal_late_fusion_augmented_-10
3,0.6596806049346924,0.7674418687820435,0.4029850661754608,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.5904492807771343,CND_multimodal_late_fusion_augmented_-10
4,0.6782833933830261,0.8018433451652527,0.38395416736602783,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6031197459368578,CND_multimodal_late_fusion_augmented_-10
0,0.6605587005615234,0.6700000166893005,0.6526315808296204,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6688573245707017,CND_multimodal_late_fusion_augmented_-10
1,0.6556535959243774,0.6795180439949036,0.6356164216995239,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6696523213907144,CND_multimodal_late_fusion_augmented_-10
2,0.6790761947631836,0.6835442781448364,0.6753246784210205,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6780792876828492,CND_multimodal_late_fusion_augmented_-10
3,0.6176924705505371,0.6620370149612427,0.5804597735404968,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6398929404282383,CND_multimodal_late_fusion_augmented_-10
4,0.6151309013366699,0.668181836605072,0.570588231086731,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6416949332202672,CND_multimodal_late_fusion_augmented_-10
0,0.7264218926429749,0.8344007134437561,0.4692082107067108,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6713151503829629,CND_multimodal_late_fusion_augmented_-10
1,0.7257630228996277,0.8406840562820435,0.45201238989830017,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6577433215019615,CND_multimodal_late_fusion_augmented_-10
2,0.7087061405181885,0.792864203453064,0.5082352757453918,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6677003549411544,CND_multimodal_late_fusion_augmented_-10
3,0.6874858140945435,0.7969782948493958,0.4266666769981384,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6117083878199141,CND_multimodal_late_fusion_augmented_-10
4,0.704838752746582,0.8233151435852051,0.4226190447807312,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6297636839155614,CND_multimodal_late_fusion_augmented_-10
