,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5421620296604976,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5587030681864608,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5411074682354864,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5622038035706991,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.424107164144516,0.07665505260229111,0.7058823704719543,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5054327892902989,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.4041512608528137,0.022304832935333252,0.7138193845748901,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5533765816981477,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5426318584793888,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5540635085999102,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.43768441677093506,0.10309278219938278,0.7090300917625427,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5380066018705301,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.41627052426338196,0.050724636763334274,0.7127193212509155,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5085847240051348,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.5275806188583374,0.545976996421814,0.4903225898742676,ekstedt_events,backchannel,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.48887236291048575,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.5561453104019165,0.7565982341766357,0.15017065405845642,ekstedt_events,backchannel,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.4381464719772339,0.0989583358168602,0.7032589912414551,ekstedt_events,short_long,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.4964164976335362,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.4408988356590271,0.10796914994716644,0.7011197209358215,ekstedt_events,short_long,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5061528059499663,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.6058467741935484,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5090725806451613,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.6139112903225806,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5413306451612904,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5977822580645161,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5574596774193549,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.6139112903225806,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.916016697883606,0.9709091186523438,0.0,roddy_events,overlap_spred_before_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.916016697883606,0.9709091186523438,0.0,roddy_events,overlap_spred_before_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.6307350187265918,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.8602596521377563,0.9502798914909363,0.0,gap_0,gap_0_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5226617345822644,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.8602596521377563,0.9502798914909363,0.0,gap_0,gap_0_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5767999277933052,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.8602596521377563,0.9502798914909363,0.0,gap_0,gap_0_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5201214969426889,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.8602596521377563,0.9502798914909363,0.0,gap_0,gap_0_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5789814266635458,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.411705881357193,0.042216360569000244,0.7134964466094971,gap_0,s_pred_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5553666249030488,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.3908191919326782,0.0,0.7100313305854797,gap_0,s_pred_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5013513513513513,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.4467884302139282,0.12980769574642181,0.7056910395622253,gap_0,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5417695841536901,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.3908191919326782,0.0,0.7100313305854797,gap_0,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.8675425052642822,0.9530389308929443,0.0,gap_0,superset_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.515453605804018,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.8675425052642822,0.9530389308929443,0.0,gap_0,superset_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5735350056071518,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5523476120439597,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5467428606446869,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5453461412754831,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5496741839277689,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.42593079805374146,0.07719298452138901,0.7087486386299133,ekstedt_events,s_pred_p_future,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5084815697781038,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.3913336396217346,0.0,0.708695650100708,ekstedt_events,s_pred_p_future,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5186250687694847,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5511755934142255,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5419526494259918,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.424107164144516,0.07665505260229111,0.7058823704719543,ekstedt_events,s_pred_p_now,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5476114065651935,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.40456077456474304,0.029197080060839653,0.7089715600013733,ekstedt_events,s_pred_p_now,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5014212360168715,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.5279268026351929,0.5372693538665771,0.5090054869651794,ekstedt_events,backchannel,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.48887236291048575,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.5724478363990784,0.7645618915557861,0.18336163461208344,ekstedt_events,backchannel,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.4381464719772339,0.0989583358168602,0.7032589912414551,ekstedt_events,short_long,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.4952670723461799,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.44014889001846313,0.10769230872392654,0.699999988079071,ekstedt_events,short_long,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5076233941852604,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.6290322580645161,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.5090725806451613,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.6290322580645161,CND_multimodal_late_fusion_augmented_noisy_label_-7
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_now,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.48689516129032256,CND_multimodal_late_fusion_augmented_noisy_label_-7
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_now,-7.5,CND_multimodal_late_fusion_augmented_noisy_label_,0.6602822580645161,CND_multimodal_late_fusion_augmented_noisy_label_-7
