,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.7040964365005493,0.852838933467865,0.1626373678445816,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5652755648159496,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7074662446975708,0.8538283109664917,0.17467248439788818,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5754611471994118,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7057704329490662,0.8473252654075623,0.190476194024086,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5664986517955632,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7083466649055481,0.8572527766227722,0.16629213094711304,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5746236262613882,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.5516071319580078,0.517179012298584,0.5795275568962097,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5492847973592518,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.5510616898536682,0.47731754183769226,0.610866367816925,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5668095543737393,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7045016884803772,0.8491446375846863,0.17796610295772552,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5564892552191854,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7106326818466187,0.8579129576683044,0.17449665069580078,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5777949707889038,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7044565677642822,0.8459734320640564,0.18930041790008545,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5696648894880909,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7053178548812866,0.8516079187393188,0.1727861762046814,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5750423867304,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.5466647744178772,0.5161290168762207,0.5714285969734192,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.551107188703466,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.5509997606277466,0.5046381950378418,0.58859783411026,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5467976343297267,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.5752183198928833,0.7644749879837036,0.19191919267177582,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5672146333189818,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.5689298510551453,0.7685589790344238,0.1646234691143036,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.5080031752586365,0.2921810746192932,0.6766917109489441,ekstedt_events,short_long,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.4809837728194726,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.48078203201293945,0.3222416937351227,0.604698657989502,ekstedt_events,short_long,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5103786342123056,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5171370967741935,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6280241935483871,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.689516129032258,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6360887096774194,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6975806451612903,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6280241935483871,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6975806451612903,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_after_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6360887096774194,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.916016697883606,0.9709091186523438,0.0,roddy_events,overlap_spred_before_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.916016697883606,0.9709091186523438,0.0,roddy_events,overlap_spred_before_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.6370552434456929,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.8609628081321716,0.9501427412033081,0.008733624592423439,gap_0,gap_0_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.578587502428562,CND_multimodal_late_fusion_augmented_noisy_label_None
1,0.8602596521377563,0.9502798914909363,0.0,gap_0,gap_0_p_future,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5762759703157054,CND_multimodal_late_fusion_augmented_noisy_label_None
0,0.859946608543396,0.9499341249465942,0.0,gap_0,gap_0_p_now,1000000,CND_multimodal_late_fusion_augmented_noisy_label_None,0.5781124986423,CND_multimodal_late_fusion_augmented_noisy_label_None
