,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5014222535441435,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5005694121011561,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5037509702986477,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5005694121011561,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.49847560975609756,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5015397107488663,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.689754068851471,0.8792341947555542,0.0,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.49931313069412103,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.4895814230698698,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.392880380153656,0.0,0.7114967703819275,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.2376823127269745,0.11860940605401993,0.4788391888141632,ekstedt_events,backchannel,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.4917818048977781,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.310171902179718,0.24394619464874268,0.4442979693412781,ekstedt_events,backchannel,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.43229395151138306,0.08021390438079834,0.7074829936027527,ekstedt_events,short_long,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5087390128465179,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.4381464719772339,0.0989583358168602,0.7032589912414551,ekstedt_events,short_long,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5073022312373225,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
1,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_now,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.4838709677419355,CND_multimodal_late_fusion_augmented_noisy_label_-10
0,0.7040293216705322,0.8857142925262451,0.0,roddy_events,overlaps_before_p_future,-10.0,CND_multimodal_late_fusion_augmented_noisy_label_,0.5,CND_multimodal_late_fusion_augmented_noisy_label_-10
