,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.7311644554138184,0.8305400609970093,0.49444442987442017,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6785914440500653,CND_multimodal_late_fusion_augmented_-10
1,0.7263191938400269,0.8296296000480652,0.48022598028182983,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6758219689893518,CND_multimodal_late_fusion_augmented_-10
2,0.7210152745246887,0.8148854970932007,0.49740931391716003,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6691014384457314,CND_multimodal_late_fusion_augmented_-10
3,0.7163087129592896,0.8103448152542114,0.4923076927661896,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6528815617410798,CND_multimodal_late_fusion_augmented_-10
4,0.7105400562286377,0.833034098148346,0.41874998807907104,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_augmented_,0.661913880067252,CND_multimodal_late_fusion_augmented_-10
0,0.7086290121078491,0.8216911554336548,0.4393063485622406,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6362833924901925,CND_multimodal_late_fusion_augmented_-10
1,0.7037745118141174,0.8071833848953247,0.457446813583374,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6317999252755464,CND_multimodal_late_fusion_augmented_-10
2,0.6961503624916077,0.8096564412117004,0.4257703125476837,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6287408929572202,CND_multimodal_late_fusion_augmented_-10
3,0.6908968091011047,0.8003766536712646,0.4301075339317322,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6269942088548477,CND_multimodal_late_fusion_augmented_-10
4,0.7097675800323486,0.8227731585502625,0.44057971239089966,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_augmented_,0.6369278909022977,CND_multimodal_late_fusion_augmented_-10
0,0.6773601770401001,0.694376528263092,0.6630727648735046,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.6889707441170235,CND_multimodal_late_fusion_augmented_-10
1,0.6321605443954468,0.6697892546653748,0.600566565990448,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.651685393258427,CND_multimodal_late_fusion_augmented_-10
2,0.6476894617080688,0.6730769276618958,0.6263736486434937,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.656746873012508,CND_multimodal_late_fusion_augmented_-10
3,0.6321605443954468,0.6697892546653748,0.600566565990448,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.651685393258427,CND_multimodal_late_fusion_augmented_-10
4,0.6332550048828125,0.6848072409629822,0.5899705290794373,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_augmented_,0.66000635997456,CND_multimodal_late_fusion_augmented_-10
0,0.7263191938400269,0.8296296000480652,0.48022598028182983,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.655417522884364,CND_multimodal_late_fusion_augmented_-10
1,0.6958796977996826,0.8237410187721252,0.3913043439388275,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6525593125350271,CND_multimodal_late_fusion_augmented_-10
2,0.6954048871994019,0.7870461344718933,0.4771084189414978,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6432701288996825,CND_multimodal_late_fusion_augmented_-10
3,0.7081868052482605,0.8152984976768494,0.45303866267204285,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.633546609377919,CND_multimodal_late_fusion_augmented_-10
4,0.7135469317436218,0.8304623961448669,0.4350453317165375,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_augmented_,0.6525920044834672,CND_multimodal_late_fusion_augmented_-10
