,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.6311858892440796,0.6933333277702332,0.483146071434021,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5565570708014198,CND_multimodal_late_fusion_-10
1,0.6265203356742859,0.6796338558197021,0.5,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5553895012142723,CND_multimodal_late_fusion_-10
2,0.6465376615524292,0.6950517892837524,0.5309734344482422,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5864048197272558,CND_multimodal_late_fusion_-10
3,0.4519093632698059,0.44252872467041016,0.4742547571659088,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5292125910704277,CND_multimodal_late_fusion_-10
4,0.6580625772476196,0.7286324501037598,0.48995983600616455,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.6330375490379226,CND_multimodal_late_fusion_-10
0,0.4998963475227356,0.5233160853385925,0.4441087543964386,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5420838781991406,CND_multimodal_late_fusion_-10
1,0.47779589891433716,0.4730878174304962,0.4890109896659851,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5535307304315338,CND_multimodal_late_fusion_-10
2,0.5218842625617981,0.5335120558738708,0.49418604373931885,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5456332897440688,CND_multimodal_late_fusion_-10
3,0.5099501013755798,0.5341935753822327,0.4522002935409546,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5211470203624136,CND_multimodal_late_fusion_-10
4,0.6361539363861084,0.7244582176208496,0.42580646276474,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.6095086867177284,CND_multimodal_late_fusion_-10
0,0.44136062264442444,0.1306532621383667,0.7022375464439392,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.5176489294042824,CND_multimodal_late_fusion_-10
1,0.42977505922317505,0.095238097012043,0.710659921169281,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.520563917744329,CND_multimodal_late_fusion_-10
