,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.8776431083679199,0.9169884324073792,0.7839195728302002,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_None,0.8821548664300392,CND_multimodal_late_fusion_None
1,0.8464241027832031,0.9014084339141846,0.7154471278190613,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_None,0.8616850364281712,CND_multimodal_late_fusion_None
2,0.8748872876167297,0.9128305315971375,0.7845036387443542,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_None,0.8627638707266954,CND_multimodal_late_fusion_None
3,0.8707261681556702,0.9074627161026001,0.7832167744636536,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_None,0.8582477115636091,CND_multimodal_late_fusion_None
4,0.8833341598510742,0.9208494424819946,0.7939698696136475,ekstedt_events,shift_hold_p_future_after,1000000,CND_multimodal_late_fusion_None,0.8812535027087615,CND_multimodal_late_fusion_None
0,0.858025312423706,0.9052631855010986,0.7455012798309326,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_None,0.8461657014758079,CND_multimodal_late_fusion_None
1,0.853466272354126,0.8984375,0.7463414669036865,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_None,0.8158275733233701,CND_multimodal_late_fusion_None
2,0.858018159866333,0.901077389717102,0.7554479241371155,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_None,0.842205305436204,CND_multimodal_late_fusion_None
3,0.844688892364502,0.8969465494155884,0.7202072739601135,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_None,0.8439519895385765,CND_multimodal_late_fusion_None
4,0.8371463418006897,0.8977695107460022,0.6927374005317688,ekstedt_events,shift_hold_p_future_before,1000000,CND_multimodal_late_fusion_None,0.8518727816177845,CND_multimodal_late_fusion_None
0,0.8950692415237427,0.8894878625869751,0.8997554779052734,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_None,0.8974454102183591,CND_multimodal_late_fusion_None
1,0.86418616771698,0.8523676991462708,0.8741092681884766,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_None,0.8637375450498198,CND_multimodal_late_fusion_None
2,0.8640710115432739,0.8507042527198792,0.8752940893173218,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_None,0.8628365486538054,CND_multimodal_late_fusion_None
3,0.864357590675354,0.8586666584014893,0.8691357970237732,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_None,0.8673415306338774,CND_multimodal_late_fusion_None
4,0.8669127225875854,0.8594594597816467,0.8731707334518433,ekstedt_events,s_pred_p_future,1000000,CND_multimodal_late_fusion_None,0.8687990248039008,CND_multimodal_late_fusion_None
0,0.862338662147522,0.9039215445518494,0.7632850408554077,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_None,0.8630534279843078,CND_multimodal_late_fusion_None
1,0.8322117328643799,0.8880382776260376,0.6992287635803223,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_None,0.8447973099196713,CND_multimodal_late_fusion_None
2,0.8556345105171204,0.8987217545509338,0.7529975771903992,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_None,0.840225107416402,CND_multimodal_late_fusion_None
3,0.8382147550582886,0.8851485252380371,0.7264150977134705,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_None,0.8104100504390062,CND_multimodal_late_fusion_None
4,0.8270514607429504,0.8927911520004272,0.6704545617103577,ekstedt_events,shift_hold_p_now_after,1000000,CND_multimodal_late_fusion_None,0.8180412852606016,CND_multimodal_late_fusion_None
0,0.8106034994125366,0.8696498274803162,0.6699507236480713,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_None,0.7620726695311041,CND_multimodal_late_fusion_None
1,0.7951233386993408,0.8610038757324219,0.6381909251213074,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_None,0.7853026340369886,CND_multimodal_late_fusion_None
2,0.7987050414085388,0.8554337024688721,0.6635730862617493,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_None,0.7810526807397721,CND_multimodal_late_fusion_None
3,0.7669299244880676,0.8592321872711182,0.5470588207244873,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_None,0.7556650476368392,CND_multimodal_late_fusion_None
4,0.796157717704773,0.8715083599090576,0.6166666746139526,ekstedt_events,shift_hold_p_now_before,1000000,CND_multimodal_late_fusion_None,0.7572996450588455,CND_multimodal_late_fusion_None
0,0.8770207166671753,0.8666666746139526,0.8857142925262451,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_None,0.8768814924740301,CND_multimodal_late_fusion_None
1,0.8770596981048584,0.8674033284187317,0.8851674795150757,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_None,0.8773319906720374,CND_multimodal_late_fusion_None
2,0.8815221190452576,0.8654970526695251,0.8949771523475647,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_None,0.8779944880220479,CND_multimodal_late_fusion_None
3,0.8464457392692566,0.8387096524238586,0.8529411554336548,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_None,0.8418486326054696,CND_multimodal_late_fusion_None
4,0.8592277765274048,0.8541114330291748,0.8635236024856567,ekstedt_events,s_pred_p_now,1000000,CND_multimodal_late_fusion_None,0.862624549501802,CND_multimodal_late_fusion_None
0,0.7864491939544678,0.7810651063919067,0.7936803102493286,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_None,0.7934393645612643,CND_multimodal_late_fusion_None
1,0.7684532403945923,0.7686424255371094,0.7681992053985596,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_None,0.7879256908000629,CND_multimodal_late_fusion_None
2,0.7646716237068176,0.7861471772193909,0.7358288764953613,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_None,0.7923182883280804,CND_multimodal_late_fusion_None
3,0.774368405342102,0.7855203747749329,0.7593908905982971,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_None,0.7908565845916588,CND_multimodal_late_fusion_None
4,0.7639161348342896,0.7761732935905457,0.7474541664123535,ekstedt_events,backchannel,1000000,CND_multimodal_late_fusion_None,0.7869019367106613,CND_multimodal_late_fusion_None
0,0.6285104155540466,0.3032258152961731,0.7882353067398071,ekstedt_events,short_long,1000000,CND_multimodal_late_fusion_None,0.6422026332493806,CND_multimodal_late_fusion_None
1,0.6009148955345154,0.23569023609161377,0.780251681804657,ekstedt_events,short_long,1000000,CND_multimodal_late_fusion_None,0.5737913876773757,CND_multimodal_late_fusion_None
2,0.5885217785835266,0.3847874701023102,0.688561737537384,ekstedt_events,short_long,1000000,CND_multimodal_late_fusion_None,0.5577686999610951,CND_multimodal_late_fusion_None
