,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.5344398617744446,0.564943253993988,0.461778461933136,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5349196712124042,CND_multimodal_late_fusion_-10
1,0.5055973529815674,0.5205843448638916,0.46989721059799194,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5070194283579301,CND_multimodal_late_fusion_-10
2,0.43042078614234924,0.4152046740055084,0.46666666865348816,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5448767046515972,CND_multimodal_late_fusion_-10
3,0.3754929304122925,0.3375000059604645,0.4659949541091919,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.522337941341304,CND_multimodal_late_fusion_-10
4,0.4353359639644623,0.4193548262119293,0.47340425848960876,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5197459368578368,CND_multimodal_late_fusion_-10
0,0.44027096033096313,0.4320457875728607,0.45986393094062805,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5369559125723893,CND_multimodal_late_fusion_-10
1,0.26305174827575684,0.17957746982574463,0.461893767118454,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5205025219503082,CND_multimodal_late_fusion_-10
2,0.3091628849506378,0.24666666984558105,0.45803356170654297,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5172987110031758,CND_multimodal_late_fusion_-10
3,0.43849024176597595,0.43342775106430054,0.450549453496933,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5221931627124977,CND_multimodal_late_fusion_-10
4,0.45188283920288086,0.45188283920288086,0.45188283920288086,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5135718288810013,CND_multimodal_late_fusion_-10
0,0.4524160921573639,0.1428571492433548,0.7123287916183472,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.5298918804324783,CND_multimodal_late_fusion_-10
1,0.40419840812683105,0.04371584579348564,0.7068676948547363,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.508877464490142,CND_multimodal_late_fusion_-10
2,0.41514259576797485,0.0648648664355278,0.7092437148094177,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.5144954420182319,CND_multimodal_late_fusion_-10
3,0.46214765310287476,0.18095238506793976,0.6982455849647522,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.5227104091583633,CND_multimodal_late_fusion_-10
4,0.4292351305484772,0.10309278219938278,0.703071653842926,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.513938944244223,CND_multimodal_late_fusion_-10
0,0.30970025062561035,0.24875621497631073,0.454873651266098,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5082430412852605,CND_multimodal_late_fusion_-10
1,0.31852513551712036,0.2638436555862427,0.44878047704696655,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5055062581729871,CND_multimodal_late_fusion_-10
2,0.28441911935806274,0.21196581423282623,0.4570082426071167,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5212591070427798,CND_multimodal_late_fusion_-10
3,0.277451753616333,0.20274914801120758,0.4553990662097931,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5157855408182328,CND_multimodal_late_fusion_-10
4,0.4975494146347046,0.5291139483451843,0.42236024141311646,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5140388567158602,CND_multimodal_late_fusion_-10
0,0.17165064811706543,0.05009634047746658,0.4612021744251251,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_,0.49863160844386323,CND_multimodal_late_fusion_-10
1,0.15930134057998657,0.03481624647974968,0.4558342397212982,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_,0.500990099009901,CND_multimodal_late_fusion_-10
2,0.16492974758148193,0.04238921031355858,0.45683059096336365,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_,0.501980198019802,CND_multimodal_late_fusion_-10
3,0.23238499462604523,0.13743218779563904,0.45856979489326477,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_,0.5025920044834672,CND_multimodal_late_fusion_-10
4,0.17215213179588318,0.05343511328101158,0.45494505763053894,ekstedt_events,shift_hold_p_now_before,-10.0,CND_multimodal_late_fusion_,0.4996217074537642,CND_multimodal_late_fusion_-10
0,0.38859713077545166,0.011173184029757977,0.7054908275604248,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_,0.5028089887640449,CND_multimodal_late_fusion_-10
1,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_,0.5,CND_multimodal_late_fusion_-10
2,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_,0.5,CND_multimodal_late_fusion_-10
3,0.3816886246204376,0.0,0.70216304063797,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_,0.5032594869620521,CND_multimodal_late_fusion_-10
4,0.38859713077545166,0.011173184029757977,0.7054908275604248,ekstedt_events,s_pred_p_now,-10.0,CND_multimodal_late_fusion_,0.5028089887640449,CND_multimodal_late_fusion_-10
0,0.48577848076820374,0.48956355452537537,0.480694979429245,ekstedt_events,backchannel,-10.0,CND_multimodal_late_fusion_,0.4996050966858067,CND_multimodal_late_fusion_-10
