,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.5386615991592407,0.573913037776947,0.45468997955322266,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5532645245656641,CND_multimodal_late_fusion_-10
1,0.5044457316398621,0.5198938846588135,0.4676470458507538,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5135718288810013,CND_multimodal_late_fusion_-10
2,0.4476698637008667,0.4399999976158142,0.46594005823135376,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5338408369138801,CND_multimodal_late_fusion_-10
3,0.42656487226486206,0.40536513924598694,0.47706422209739685,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5261535587521017,CND_multimodal_late_fusion_-10
4,0.434810072183609,0.42151162028312683,0.46648794412612915,ekstedt_events,shift_hold_p_future_after,-10.0,CND_multimodal_late_fusion_,0.5259200448346721,CND_multimodal_late_fusion_-10
0,0.4444859027862549,0.43812233209609985,0.4596443176269531,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5371894264898188,CND_multimodal_late_fusion_-10
1,0.285256028175354,0.2103448212146759,0.46370023488998413,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.523328040351205,CND_multimodal_late_fusion_-10
2,0.3392534852027893,0.28477904200553894,0.46901580691337585,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5151737343545675,CND_multimodal_late_fusion_-10
3,0.47097623348236084,0.4744827449321747,0.4626234173774719,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5318606388940781,CND_multimodal_late_fusion_-10
4,0.44544243812561035,0.4422535300254822,0.45303866267204285,ekstedt_events,shift_hold_p_future_before,-10.0,CND_multimodal_late_fusion_,0.5145619278909023,CND_multimodal_late_fusion_-10
0,0.42778876423835754,0.10256410390138626,0.7008547186851501,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.5115804536781853,CND_multimodal_late_fusion_-10
1,0.3861912488937378,0.01104972418397665,0.7011685967445374,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.4980920076319695,CND_multimodal_late_fusion_-10
2,0.382555216550827,0.010869565419852734,0.6946308612823486,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.49101653593385625,CND_multimodal_late_fusion_-10
3,0.4512846767902374,0.15609756112098694,0.6991304159164429,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.5190004239983039,CND_multimodal_late_fusion_-10
4,0.4292351305484772,0.10309278219938278,0.703071653842926,ekstedt_events,s_pred_p_future,-10.0,CND_multimodal_late_fusion_,0.513938944244223,CND_multimodal_late_fusion_-10
0,0.31969255208969116,0.2591361999511719,0.4639423191547394,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5171539323743695,CND_multimodal_late_fusion_-10
1,0.33345136046409607,0.2834138572216034,0.4526445269584656,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5097001681300205,CND_multimodal_late_fusion_-10
2,0.29797837138175964,0.23193277418613434,0.45530393719673157,ekstedt_events,shift_hold_p_now_after,-10.0,CND_multimodal_late_fusion_,0.5147954418083318,CND_multimodal_late_fusion_-10
