,f1_weighted,f1_0,f1_1,kind,metric,snr,model_name,bal_acc,corpus
0,0.29508116841316223,0.22673435509204865,0.45788848400115967,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.5050392303381281,CND_-10
1,0.5365757942199707,0.589349091053009,0.4108658730983734,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.5155520269008033,CND_-10
2,0.5074508786201477,0.5397225618362427,0.43057721853256226,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.5110685596861573,CND_-10
3,0.4224175810813904,0.40928882360458374,0.4536912739276886,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.5154959835606202,CND_-10
4,0.4172033369541168,0.4011712968349457,0.4553928077220917,ekstedt_events,shift_hold_p_future_after,-10.0,CND_,0.503937044647861,CND_-10
0,0.29611146450042725,0.23294508457183838,0.44657862186431885,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.5034373248645619,CND_-10
1,0.2727286219596863,0.1944444477558136,0.4592074453830719,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.5071642069867364,CND_-10
2,0.38537025451660156,0.3489096462726593,0.4722222089767456,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.5068746497291239,CND_-10
3,0.4088057577610016,0.38051751255989075,0.4761904776096344,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.4977302447225855,CND_-10
4,0.2672959864139557,0.18998272716999054,0.4514620006084442,ekstedt_events,shift_hold_p_future_before,-10.0,CND_,0.49872034373248647,CND_-10
0,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_future,-10.0,CND_,0.5,CND_-10
1,0.39903002977371216,0.04278074949979782,0.6981450319290161,ekstedt_events,s_pred_p_future,-10.0,CND_,0.4994435022259911,CND_-10
2,0.37696173787117004,0.0,0.6934673190116882,ekstedt_events,s_pred_p_future,-10.0,CND_,0.4882075471698113,CND_-10
3,0.43340760469436646,0.11999999731779099,0.6965517401695251,ekstedt_events,s_pred_p_future,-10.0,CND_,0.510122959508162,CND_-10
4,0.3923153281211853,0.03208556026220322,0.6947723627090454,ekstedt_events,s_pred_p_future,-10.0,CND_,0.49427602289590844,CND_-10
0,0.25839945673942566,0.17543859779834747,0.45601850748062134,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.5000887352886232,CND_-10
1,0.4347100257873535,0.43611112236976624,0.4313725531101227,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.5057958154305996,CND_-10
2,0.2905198335647583,0.2207130789756775,0.45680472254753113,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.5083317765738838,CND_-10
3,0.31847894191741943,0.2602965533733368,0.45707374811172485,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.5174201382402391,CND_-10
4,0.31021633744239807,0.25082507729530334,0.45169082283973694,ekstedt_events,shift_hold_p_now_after,-10.0,CND_,0.5003222492060526,CND_-10
0,0.15416662395000458,0.02723735384643078,0.45652174949645996,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.500990099009901,CND_-10
1,0.19396190345287323,0.0827067643404007,0.4589800536632538,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.502970297029703,CND_-10
2,0.17051851749420166,0.049904029816389084,0.45783132314682007,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.5045722025032692,CND_-10
3,0.18705156445503235,0.0721062645316124,0.4608599841594696,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.500990099009901,CND_-10
4,0.17491158843040466,0.05714285746216774,0.4554455578327179,ekstedt_events,shift_hold_p_now_before,-10.0,CND_,0.502970297029703,CND_-10
0,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_now,-10.0,CND_,0.5,CND_-10
1,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_now,-10.0,CND_,0.5,CND_-10
2,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_now,-10.0,CND_,0.5,CND_-10
3,0.38286054134368896,0.0,0.7043189406394958,ekstedt_events,s_pred_p_now,-10.0,CND_,0.5028089887640449,CND_-10
4,0.3942791819572449,0.02222222276031971,0.7066666483879089,ekstedt_events,s_pred_p_now,-10.0,CND_,0.5056179775280899,CND_-10
0,0.4397495985031128,0.3875134587287903,0.5099052786827087,ekstedt_events,backchannel,-10.0,CND_,0.482088982384692,CND_-10
1,0.49510037899017334,0.6006191968917847,0.35338345170021057,ekstedt_events,backchannel,-10.0,CND_,0.47461389311034086,CND_-10
2,0.492706298828125,0.5828025341033936,0.371702641248703,ekstedt_events,backchannel,-10.0,CND_,0.45779213487351866,CND_-10
3,0.4438614249229431,0.49040138721466064,0.3813559412956238,ekstedt_events,backchannel,-10.0,CND_,0.4302948860956602,CND_-10
4,0.45821863412857056,0.48319709300994873,0.42467138171195984,ekstedt_events,backchannel,-10.0,CND_,0.45746273684840955,CND_-10
0,0.5885580778121948,0.23076923191547394,0.7642436027526855,ekstedt_events,short_long,-10.0,CND_,0.5079857485103507,CND_-10
1,0.4966411590576172,0.35754188895225525,0.564943253993988,ekstedt_events,short_long,-10.0,CND_,0.5100231381944018,CND_-10
2,0.43164247274398804,0.41896024346351624,0.4378698170185089,ekstedt_events,short_long,-10.0,CND_,0.5078219382844974,CND_-10
3,0.4200174808502197,0.3987635374069214,0.4304538667201996,ekstedt_events,short_long,-10.0,CND_,0.4810133710096853,CND_-10
4,0.44320231676101685,0.40317460894584656,0.4628571569919586,ekstedt_events,short_long,-10.0,CND_,0.5111442144275856,CND_-10
0,0.24076782166957855,0.10576923191547394,0.4945652186870575,roddy_events,overlaps_before_p_now,-10.0,CND_,0.4826595744680851,CND_-10
1,0.2822871506214142,0.1785714328289032,0.47727271914482117,roddy_events,overlaps_before_p_now,-10.0,CND_,0.4859574468085106,CND_-10
2,0.26224449276924133,0.14018692076206207,0.4917127192020416,roddy_events,overlaps_before_p_now,-10.0,CND_,0.4848936170212766,CND_-10
3,0.2523720860481262,0.1302325576543808,0.4819944500923157,roddy_events,overlaps_before_p_now,-10.0,CND_,0.4859574468085106,CND_-10
4,0.2958246171474457,0.19555555284023285,0.4843304753303528,roddy_events,overlaps_before_p_now,-10.0,CND_,0.4876595744680851,CND_-10
0,0.2784996032714844,0.1651376187801361,0.49162012338638306,roddy_events,overlaps_before_p_future,-10.0,CND_,0.48,CND_-10
1,0.37661921977996826,0.3371647596359253,0.45079365372657776,roddy_events,overlaps_before_p_future,-10.0,CND_,0.48031914893617017,CND_-10
2,0.37810248136520386,0.3458646535873413,0.43870967626571655,roddy_events,overlaps_before_p_future,-10.0,CND_,0.4882978723404255,CND_-10
3,0.3595869243144989,0.2904564440250397,0.48955222964286804,roddy_events,overlaps_before_p_future,-10.0,CND_,0.488936170212766,CND_-10
4,0.42105334997177124,0.4154929518699646,0.43150684237480164,roddy_events,overlaps_before_p_future,-10.0,CND_,0.4779787234042553,CND_-10
0,0.5306939482688904,0.6419098377227783,0.3216080367565155,roddy_events,overlaps_after_p_now,-10.0,CND_,0.4687234042553191,CND_-10
1,0.37477609515190125,0.3481481373310089,0.4248366057872772,roddy_events,overlaps_after_p_now,-10.0,CND_,0.4798936170212766,CND_-10
2,0.33062368631362915,0.26720649003982544,0.4498480260372162,roddy_events,overlaps_after_p_now,-10.0,CND_,0.5058510638297873,CND_-10
3,0.5298755764961243,0.6510416865348816,0.3020833432674408,roddy_events,overlaps_after_p_now,-10.0,CND_,0.4684042553191489,CND_-10
4,0.4812273681163788,0.5486725568771362,0.3544303774833679,roddy_events,overlaps_after_p_now,-10.0,CND_,0.4777659574468085,CND_-10
0,0.3728974163532257,0.34328359365463257,0.4285714328289032,roddy_events,overlaps_after_p_future,-10.0,CND_,0.4882978723404255,CND_-10
1,0.4418436288833618,0.45270270109176636,0.4214285612106323,roddy_events,overlaps_after_p_future,-10.0,CND_,0.47893617021276597,CND_-10
2,0.49498358368873596,0.5498489141464233,0.3918367326259613,roddy_events,overlaps_after_p_future,-10.0,CND_,0.4856382978723404,CND_-10
3,0.42779281735420227,0.40875911712646484,0.46357616782188416,roddy_events,overlaps_after_p_future,-10.0,CND_,0.49361702127659574,CND_-10
4,0.40990370512008667,0.40282684564590454,0.42320817708969116,roddy_events,overlaps_after_p_future,-10.0,CND_,0.4581914893617022,CND_-10
0,0.21849969029426575,0.05291005223989487,0.5149051547050476,roddy_events,overlap_spred_before_p_future,-10.0,CND_,0.4927932960893855,CND_-10
1,0.23258614540100098,0.07329843193292618,0.5177111625671387,roddy_events,overlap_spred_before_p_future,-10.0,CND_,0.4877932960893855,CND_-10
