,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
0,0.8589659333229065,0.927973747253418,0.401559442281723,250,250,0.7093613371989564,SWB_GT
1,0.8650737404823303,0.9279456734657288,0.4483383595943451,250,250,0.7290083937679148,SWB_GT
2,0.8636483550071716,0.9291375875473022,0.42956411838531494,250,250,0.7376226315530113,SWB_GT
3,0.8493322730064392,0.9264774322509766,0.33798882365226746,250,250,0.6844826341264432,SWB_GT
4,0.8624930381774902,0.931214451789856,0.4069845676422119,250,250,0.714276609010844,SWB_GT
0,0.8555524349212646,0.9251115322113037,0.463735431432724,0,0_p_future,0.731171616513447,SWB_GT
1,0.8634596467018127,0.9265375137329102,0.5081502199172974,0,0_p_future,0.7517771213181883,SWB_GT
2,0.8610238432884216,0.9278101325035095,0.4848257899284363,0,0_p_future,0.759350668115203,SWB_GT
3,0.845878541469574,0.9243383407592773,0.40392476320266724,0,0_p_future,0.7166255255046166,SWB_GT
4,0.8590983152389526,0.9224546551704407,0.5022206902503967,0,0_p_future,0.7427391607043946,SWB_GT
0,0.8524304032325745,0.9253910779953003,0.3737373650074005,500,500_p_future,0.6960702088433524,SWB_GT
1,0.853360116481781,0.9228203296661377,0.3976331353187561,500,500_p_future,0.7087186810529815,SWB_GT
2,0.852878749370575,0.9221193194389343,0.3985931873321533,500,500_p_future,0.7080537673406474,SWB_GT
3,0.8424671292304993,0.9231918454170227,0.312834233045578,500,500_p_future,0.6702859128963037,SWB_GT
4,0.8543123006820679,0.9279400706291199,0.37124183773994446,500,500_p_future,0.6946119321788014,SWB_GT
0,0.8300041556358337,0.9021512866020203,0.4426877498626709,750,750_p_future,0.6929824561403508,SWB_GT
1,0.8313490152359009,0.9120432734489441,0.39814814925193787,750,750_p_future,0.7067669172932332,SWB_GT
2,0.826327919960022,0.902959406375885,0.4149377644062042,750,750_p_future,0.704408079021082,SWB_GT
3,0.8152322173118591,0.9074446558952332,0.32019704580307007,750,750_p_future,0.680045702491523,SWB_GT
4,0.8290652632713318,0.9161936640739441,0.36132314801216125,750,750_p_future,0.6944751584844464,SWB_GT
0,0.8152520656585693,0.8939641118049622,0.4628099203109741,1000,1000_p_future,0.6775870646766169,SWB_GT
1,0.8066099882125854,0.8866994976997375,0.4480000138282776,1000,1000_p_future,0.6867288557213931,SWB_GT
2,0.8061195611953735,0.8960000276565552,0.40366971492767334,1000,1000_p_future,0.6934577114427861,SWB_GT
3,0.8011948466300964,0.8892481923103333,0.40692639350891113,1000,1000_p_future,0.6858582089552239,SWB_GT
4,0.8080673813819885,0.8933764100074768,0.426086962223053,1000,1000_p_future,0.7074502487562189,SWB_GT
0,0.8028318881988525,0.8943662047386169,0.43396225571632385,1250,1250_p_future,0.695632946379215,SWB_GT
1,0.7942368388175964,0.9047619104385376,0.3488371968269348,1250,1250_p_future,0.6894140409065782,SWB_GT
2,0.7873991131782532,0.8991453051567078,0.33707866072654724,1250,1250_p_future,0.7034273079049198,SWB_GT
3,0.7808367013931274,0.8818342089653015,0.37383177876472473,1250,1250_p_future,0.6744886677722499,SWB_GT
4,0.798607349395752,0.8927943706512451,0.41904762387275696,1250,1250_p_future,0.7189883913764511,SWB_GT
0,0.7505347728729248,0.8695651888847351,0.37735849618911743,1500,1500_p_future,0.6775396085740913,SWB_GT
1,0.7124183177947998,0.8103448152542114,0.4054054021835327,1500,1500_p_future,0.6550559179869525,SWB_GT
2,0.7204352021217346,0.8421052694320679,0.33898305892944336,1500,1500_p_future,0.6691519105312209,SWB_GT
3,0.699782133102417,0.8166666626930237,0.3333333432674408,1500,1500_p_future,0.6096225535880708,SWB_GT
4,0.7593142986297607,0.8303571343421936,0.5365853905677795,1500,1500_p_future,0.6981593662628145,SWB_GT
0,0.7992662191390991,0.8904852867126465,0.42048099637031555,250,250,0.6937275556433413,SWB_ASR
1,0.8049765825271606,0.8889219164848328,0.45639535784721375,250,250,0.7101135884686747,SWB_ASR
2,0.8017144799232483,0.889936625957489,0.4353741407394409,250,250,0.713038450711454,SWB_ASR
3,0.7858387231826782,0.8791826963424683,0.39823007583618164,250,250,0.6802300308408207,SWB_ASR
